,Date,SP Daily Pct Return,Open,High,Low,Last,Change,Settle,Volume,Previous Day Open Interest,SP_MA,dly chg correlation,dly chg corr mean,Std daily chg correl,upper_correl,lower_correl,signal,Gold-Copp Dly Ret,Gold Price,Copper Price,GoldCopperRatio,MA,rolling_std,,,,,5.79%," 192,225 "," 203,360 "
199,3/26/2019,0.58,2813.5,2839.75,2810.75,2828.25,16.25,2827.5,1614,14912,0.201090909,0.541868478,0.503837296,0.087480535,0.678798365,0.328876226,0,0.6,1315,2.852,0.002168821,0.103272727,0.980079465,,,,,,,
200,3/27/2019,-0.46,2826.5,2836,2796.5,2811.75,13,2814.5,1880,15066,0.178727273,0.547543958,0.507811642,0.084295692,0.676403027,0.339220258,0,0.63,1310.4,2.86,0.00218254,0.128,0.97581381,,,,,,,
201,3/28/2019,0.38,2811.5,2828,2799.5,2826.5,10.75,2825.25,921,15737,0.17,0.534479704,0.51159808,0.080583567,0.672765215,0.350430945,0,1.83,1292.5,2.8725,0.002222437,0.143272727,0.995921413,,,,,,,
202,3/29/2019,0.61,2825.25,2845.75,2824.75,2844.5,17.25,2842.5,2001,15796,0.173454545,0.54303401,0.51550514,0.076636985,0.668779109,0.36223117,0,1.97,1295.6,2.936,0.002266132,0.186545455,1.022779833,,,,,,,
203,4/1/2019,1.16,2848.75,2878,2848.75,2875.5,33,2875.5,3652,18350,0.186727273,0.532762551,0.519200924,0.072277868,0.66375666,0.374645187,0,-0.05,1291.2,2.9245,0.002264947,0.191818182,1.020760593,,,,,,,
204,4/2/2019,-0.12,2874.25,2878.5,2867.25,2871.75,3.5,2872,815,19476,0.183818182,0.538828508,0.522996894,0.067483275,0.657963444,0.388030344,0,-0.75,1292.5,2.9055,0.002247969,0.164363636,1.025491325,,,,,,,
205,4/3/2019,0.44,2873.25,2894,2870.75,2884.5,12.75,2884.75,3679,19258,0.202181818,0.526750339,0.526067177,0.063559421,0.653186019,0.398948334,0,1.5,1292.3,2.9485,0.002281591,0.212181818,1.025335882,,,,,,,
206,4/4/2019,0.1,2885,2890.5,2876,2887.25,2.75,2887.5,629,18974,0.186181818,0.524456863,0.52903536,0.059393272,0.647821905,0.410248816,0,-1.24,1291.4,2.91,0.002253368,0.184,1.043733683,,,,,,,
207,4/5/2019,0.48,2887.25,2902.75,2885.5,2902.5,13.75,2901.25,1784,19085,0.189272727,0.515878312,0.531861749,0.05473729,0.641336328,0.422387169,0,-0.62,1292.6,2.8945,0.002239285,0.154,1.042679241,,,,,,,
208,4/8/2019,0.08,2902.5,2904.5,2889.5,2904.25,2.25,2903.5,848,19117,0.175454545,0.513376783,0.534442118,0.050192014,0.634826146,0.43405809,0,0.81,1298.8,2.932,0.002257468,0.162363636,1.04611975,,,,,,,
209,4/9/2019,-0.55,2903,2904.75,2882.5,2887.5,16,2887.5,1112,19152,0.14,0.482998494,0.53511227,0.049227999,0.633568267,0.436656273,0,-0.41,1305.1,2.934,0.002248104,0.113272727,1.007049329,,,,,,,
210,4/10/2019,0.42,2887.75,2901,2883.5,2900.75,12,2899.5,1281,19300,0.174909091,0.410902347,0.534282404,0.050932196,0.636146795,0.432418012,-0.021515665,-0.69,1310.3,2.9255,0.002232695,0.142545455,0.95779689,,short,-66," 191,367 ",,,
211,4/11/2019,-0.09,2900.25,2905.25,2890.75,2897,2.75,2896.75,544,20166,0.168727273,0.411161366,0.533498887,0.052493631,0.638486149,0.428511625,-0.017350259,0.2,1290.5,2.887,0.002237117,0.149636364,0.956732409,,,,,,,
212,4/12/2019,0.73,2897,2919.75,2896.5,2917.5,21.25,2918,3230,20229,0.185090909,0.423068561,0.532090425,0.054399151,0.640888727,0.423292123,-0.000223562,1.91,1292.2,2.946,0.002279833,0.185454545,0.985191875,,,,,,,
213,4/15/2019,-0.1,2919,2919.75,2906,2916,3,2915,2059,22769,0.162727273,0.399335337,0.529817304,0.057264877,0.644347058,0.415287551,-0.015952214,-0.09,1288.5,2.935,0.002277842,0.153272727,0.964152006,,,,,,,
214,4/16/2019,0.07,2917.5,2926.5,2910.5,2917,2,2917,2972,26157,0.178909091,0.352008674,0.526603277,0.062082242,0.65076776,0.402438794,-0.05043012,0.97,1274.2,2.9305,0.002299874,0.210909091,0.914332934,,,,,,,
215,4/17/2019,-0.38,2914.75,2929,2904.5,2906.5,11,2906,4913,28337,0.173090909,0.33752036,0.523255267,0.067114947,0.657485162,0.389025372,-0.051505012,1.29,1273.8,2.9675,0.002329644,0.212545455,0.916214471,,,,,,,
216,4/18/2019,0.33,2907,2917,2895.5,2916.25,9.5,2915.5,3095,31789,0.15,0.278674703,0.518641531,0.074759266,0.668160064,0.369122999,-0.090448296,-1.55,1273.1,2.92,0.002293614,0.157636364,0.929852564,,,,,,,
217,4/22/2019,0.09,2914.75,2920.75,2904.75,2918.5,2.5,2918,1103,33744,0.136727273,0.287188655,0.514239632,0.080988619,0.676216869,0.352262394,-0.06507374,-0.76,1274.7,2.9015,0.002276222,0.145818182,0.93741704,,,,,,,
218,4/23/2019,0.89,2917.5,2945.25,2914,2944,26,2944,3881,34089,0.153272727,0.279396964,0.509505317,0.086865182,0.683235682,0.335774952,-0.056377987,0.05,1270.6,2.8935,0.002277271,0.150181818,0.936382897,,,,,,,
219,4/24/2019,-0.25,2943.75,2945.5,2933.75,2934.25,7.5,2936.5,956,35750,0.137090909,0.268951698,0.504521422,0.092579676,0.689680774,0.319362069,-0.050410371,0.1,1276.6,2.91,0.002279492,0.134181818,0.9294337,,,,,,,
220,4/25/2019,-0.15,2936,2941,2920,2930.25,4.5,2932,1202,36105,0.127818182,0.272429187,0.499510718,0.097508573,0.694527863,0.304493572,-0.032064385,-1.65,1276.4,2.8615,0.002241852,0.089454545,0.955144779,,,,,,,
221,4/26/2019,0.52,2929,2948.25,2923.5,2945,15.25,2947.25,2657,37015,0.138363636,0.281425953,0.494827859,0.101673457,0.698174774,0.291480945,-0.010054992,0.16,1285.5,2.8865,0.00224543,0.073090909,0.945873832,,,,,,,
222,4/29/2019,0.05,2946.25,2957,2944,2949,1.5,2948.75,2896,37643,0.156181818,0.275030405,0.490017293,0.105694977,0.701407248,0.278627339,-0.003596934,0.64,1281.5,2.896,0.002259852,0.089636364,0.947718437,,,,,,,
223,4/30/2019,0.19,2948.5,2962,2931.75,2961,5.5,2954.25,1183,39768,0.158363636,0.274926785,0.485145897,0.109326575,0.703799047,0.266492747,0,-0.07,1285.7,2.9035,0.002258303,0.105818182,0.937002097,,cover,66," (194,981)",,,
224,5/1/2019,-0.86,2960.25,2967.75,2922.25,2922.5,25.5,2928.75,3567,40051,0.141454545,0.341167729,0.481520006,0.110751355,0.703022715,0.260017296,0,-3.37,1284.2,2.8025,0.002182292,0.048545455,1.047088411,,,,,,,
225,5/2/2019,-0.19,2922.5,2938.25,2907,2924.75,5.5,2923.25,3956,42317,0.113454545,0.386952268,0.478971647,0.111294057,0.701559761,0.256383532,0,0.2,1272,2.7815,0.002186714,0.066727273,1.040744133,,,,,,,
226,5/3/2019,1.03,2926.5,2955,2922.5,2954.5,30.25,2953.5,4025,43568,0.129090909,0.39446219,0.476588547,0.111681209,0.699950965,0.253226129,0,0.7,1281.3,2.8215,0.00220206,0.080363636,1.04409444,,,,,,,
227,5/6/2019,-0.52,2927,2943.25,2889.5,2915.25,15.5,2938,9896,46480,0.124,0.390044392,0.473983987,0.112004178,0.697992343,0.249975632,0,0.18,1283.8,2.832,0.002205951,0.081454545,1.044167963,,,,,,,
228,5/7/2019,-1.44,2918,2935.75,2867.75,2896,42.25,2895.75,7550,45430,0.075272727,0.438143192,0.472128093,0.111731722,0.695591537,0.248664649,0,-1.66,1285.6,2.789,0.002169415,0.046,1.069748326,,,,,,,
229,5/8/2019,-0.12,2895.5,2903.75,2874,2889.75,3.5,2892.25,8461,46272,0.072181818,0.442361628,0.470822649,0.111650939,0.694124527,0.247520771,0,-0.01,1281.4,2.7795,0.002169112,0.026727273,1.060836593,,,,,,,
230,5/9/2019,-0.5,2887.5,2890,2841.5,2877.5,14.5,2877.75,6713,46292,0.057818182,0.443421007,0.469561798,0.111560012,0.692681821,0.246441774,0,-0.4,1285.2,2.7765,0.002160364,-0.004727273,1.047036125,,,,,,,
231,5/10/2019,0.49,2876.25,2897.75,2831,2892.5,14,2891.75,7956,48964,0.075090909,0.455703329,0.468636305,0.111458103,0.69155251,0.245720099,0,-0.08,1287.4,2.779,0.002158614,-0.018363636,1.042961886,,,,,,,
232,5/13/2019,-2.78,2864.75,2873.5,2806.25,2812.5,80.25,2811.5,16409,51277,0.013272727,0.547907301,0.469235951,0.111799952,0.692835855,0.245636047,0,-3.12,1301.8,2.7225,0.002091335,-0.102181818,1.103010512,,,,,,,
233,5/14/2019,1.15,2809.75,2858.25,2804.5,2844.5,32.25,2843.75,5207,60131,0.030181818,0.551872657,0.470560324,0.112348233,0.695256789,0.245863858,0,0.61,1296.3,2.7275,0.002104065,-0.091454545,1.107082282,,,,,,,
234,5/15/2019,0.55,2844,2864.75,2819.5,2859.25,15.75,2859.5,4885,62438,0.043636364,0.55679432,0.471930144,0.112941249,0.697812643,0.246047645,0,0.58,1297.8,2.7465,0.002116274,-0.082545455,1.11053577,,,,,,,
235,5/16/2019,0.83,2858.5,2898.5,2819.5,2884.25,23.75,2883.25,8786,63469,0.056545455,0.568358541,0.473571232,0.113685845,0.700942923,0.246199542,0,1.09,1286.2,2.7515,0.002139247,-0.079272727,1.113775452,,,,,,,
236,5/17/2019,-0.58,2884.75,2892.25,2857,2865.75,16.75,2866.5,3266,65939,0.052727273,0.558638556,0.474909675,0.114255092,0.703419859,0.246399491,0,0.42,1275.7,2.7405,0.002148232,-0.070909091,1.115801112,,,,,,,
237,5/20/2019,-0.64,2871,2881,2837.25,2852,18.25,2848.25,4248,66589,0.027818182,0.555092,0.476045132,0.114743843,0.705532817,0.246557446,0,-0.53,1277.3,2.7295,0.002136929,-0.093636364,1.112117373,,,,,,,
238,5/21/2019,0.79,2853.75,2875.25,2851,2869,22.5,2870.75,5860,66835,0.051090909,0.555544937,0.476973825,0.115183996,0.707341817,0.246605832,0,-0.06,1273.2,2.719,0.002135564,-0.096545455,1.111810699,,,,,,,
239,5/22/2019,-0.3,2869.75,2874,2853.25,2861.75,8.5,2862.25,19908,69071,0.045454545,0.564477006,0.4781211,0.115744448,0.709609995,0.246632205,0,-1.46,1274.2,2.6815,0.002104458,-0.143090909,1.114373886,,,,,,,
240,5/23/2019,-1.34,2862.5,2863,2810.25,2825.25,38.25,2824,26746,83443,0.034,0.560634511,0.479131768,0.116225611,0.71158299,0.246680546,0,-0.76,1285.4,2.6845,0.002088455,-0.142545455,1.114058676,,,,,,,
241,5/24/2019,0.44,2826.5,2846.5,2824,2835.5,12.5,2836.5,5541,101823,0.056363636,0.569267396,0.480049543,0.116742717,0.713534978,0.246564108,0,0.85,1283.6,2.7035,0.002106186,-0.124181818,1.122061085,,,,,,,
242,5/28/2019,-0.95,2836.5,2845.5,2805,2809.5,27,2809.5,9712,101781,0.041090909,0.55346705,0.480927797,0.117116243,0.715160283,0.246695312,0,0.38,1277.1,2.7,0.002114165,-0.088363636,1.105727117,,,,,,,
243,5/29/2019,-0.9,2807.25,2810.25,2770.25,2784.75,25.25,2784.25,16116,105026,0.000363636,0.555794964,0.481712463,0.117476652,0.716665767,0.24675916,0,-1.45,1281,2.669,0.002083528,-0.131090909,1.112212797,,,,,,,
244,5/30/2019,0.37,2784,2803.25,2780.5,2794.5,10.25,2794.5,13565,112217,0.001636364,0.536015423,0.481286713,0.117231949,0.715750611,0.246822816,0,-1.44,1292.4,2.654,0.002053544,-0.164545455,1.123557212,,,,,,,
245,5/31/2019,-1.38,2793.75,2794.75,2753.75,2756,38.5,2756,20715,116945,-0.038,0.574110775,0.481824668,0.117594827,0.717014322,0.246635015,0,-1.95,1311.1,2.64,0.002013576,-0.187454545,1.14706908,,,,,,,
246,6/3/2019,-0.13,2746,2767,2732.25,2757,3.5,2752.5,22328,112753,-0.035636364,0.57309637,0.481864542,0.117625958,0.717116458,0.246612625,0,-0.89,1327.9,2.65,0.001995632,-0.196545455,1.1506797,,,,,,,
247,6/4/2019,2.03,2758,2809.75,2747,2809,56,2808.5,31998,111193,-0.01,0.572925235,0.48226895,0.117904848,0.718078646,0.246459254,0,0.66,1328.7,2.669,0.00200873,-0.182363636,1.156432835,,,,,,,
248,6/5/2019,0.81,2810,2833,2804.5,2832,22.75,2831.25,28887,120357,-0.005636364,0.524024512,0.480777154,0.116823504,0.714424163,0.247130145,0,-2.08,1333.6,2.623,0.001966857,-0.224,1.182964888,,,,,,,
249,6/6/2019,0.64,2824,2856.75,2816.75,2843.75,18.25,2849.5,30582,128042,0.008727273,0.52830011,0.478529805,0.114639018,0.707807841,0.24925177,0,0.36,1342.7,2.6505,0.001974008,-0.218909091,1.184898297,,,,,,,
250,6/7/2019,1.02,2844,2889.75,2841.75,2881.25,29,2878.5,35684,132717,0.033272727,0.507239013,0.475867172,0.112169597,0.700206366,0.251527979,0,-1.12,1346.1,2.6275,0.001951935,-0.244181818,1.189093478,,,,,,,
251,6/10/2019,0.51,2896.75,2910,2884.5,2894,14.75,2893.25,50247,139392,0.019818182,0.533763165,0.473475276,0.109423986,0.692323248,0.254627304,0,2.57,1329.3,2.6615,0.002002182,-0.18,1.243751791,,,,,,,
252,6/11/2019,-0.08,2894,2915.75,2883.5,2891.75,2.25,2891,66167,159934,0.051272727,0.491743031,0.46971133,0.105002305,0.679715941,0.259706719,0,0.23,1331.2,2.6715,0.002006836,-0.128727273,1.199915205,,,,,,,
253,6/12/2019,-0.21,2891.25,2894.5,2879.25,2885.5,6,2885,117200,176082,0.050181818,0.492952764,0.466877716,0.102143815,0.671165346,0.262590085,0,-1.07,1336.8,2.654,0.001985338,-0.142545455,1.206399937,,,,,,,
254,6/13/2019,0.47,2886,2900.5,2871.5,2898.75,13.5,2898.5,518670,228005,0.048181818,0.485281871,0.465848868,0.101658312,0.669165491,0.262532245,0,-0.42,1343.7,2.6565,0.001977004,-0.161090909,1.202607773,,,,,,,
255,6/14/2019,-0.13,2897.5,2902.75,2884.25,2896.25,3.75,2894.75,1306989,448119,0.054181818,0.497698866,0.464942594,0.101137368,0.667217329,0.262667859,0,-1.08,1344.5,2.6295,0.001955746,-0.192181818,1.203880594,,,,,,,
256,6/17/2019,0.05,2895,2904.75,2892,2897.75,1.5,2896.25,1641954,951568,0.048181818,0.495573417,0.464235207,0.100777417,0.665790041,0.262680373,0,0.77,1342.9,2.6465,0.001970735,-0.211454545,1.17913876,,,,,,,
