,Date,SP Daily Pct Return,Open,High,Low,Last,Change,Settle,Volume,Previous Day Open Interest,SP_MA,dly chg correlation,dly chg corr mean,Std daily chg correl,upper_correl,lower_correl,signal,Gold-Copp Dly Ret,Gold Price,Copper Price,GoldCopperRatio,MA,rolling_std,,,,,,"147,095",-11.72%,,,
262,7/1/2009,0.41,911,924,910.5,915,,915,1070,8769,0.155090909,0.659291764,0.508059027,0.097206458,0.702471943,0.313646111,0,0.99,942.8,2.3235,0.002464468,0.100727273,2.502088649,,,,,,,,,,
263,7/2/2009,-2.7,914.5,915.25,889,890.25,,890.25,1682,9567,0.078545455,0.637823247,0.512085231,0.097922273,0.707929778,0.316240684,0,0.02,932.3,2.298,0.002464872,0.032,2.449967044,,,,,,,,,,
264,7/6/2009,0.22,886.25,892,877.75,891,,891,1089,10156,0.14,0.639833426,0.516199313,0.098458012,0.713115337,0.319283288,0,-1.12,925.6,2.256,0.002437338,0.008181818,2.454765653,,,,,,,,,,
265,7/7/2009,-1.8,891.25,893.75,871,875,,875,2336,11760,0.074909091,0.645781088,0.520029492,0.099339098,0.718707687,0.321351297,0,-2.13,930.4,2.2195,0.002385533,-0.076363636,2.446716139,,,,,,,,,,
266,7/8/2009,-0.66,874.75,878.75,861.25,869.25,,869.25,1922,12581,0.086,0.597102345,0.522436257,0.099577764,0.721591784,0.32328073,0,-0.87,910.7,2.1535,0.002364665,0.021272727,2.298879803,,,,,,,,,,
267,7/9/2009,0.6,869.25,879,869.25,874.5,,874.5,3236,14647,0.071272727,0.607503809,0.52540447,0.099637178,0.724678827,0.326130113,0,2.83,917.7,2.2315,0.002431623,0.077090909,2.329485456,,,,,,,,,,
268,7/10/2009,-0.54,874,875.5,864.75,869.75,,869.75,2215,16070,0.023272727,0.601193348,0.52828024,0.099497955,0.72727615,0.329284329,0,-0.77,914,2.2055,0.00241302,0.106727273,2.307653975,,,,,,,,,,
269,7/13/2009,2.47,871.5,893,861.5,891.25,,891.25,4182,18968,0.088727273,0.645064319,0.532347923,0.099618176,0.731584274,0.333111571,0,-0.54,924,2.2175,0.002399892,0.183818182,2.210143695,,,,,,,,,,
270,7/14/2009,0.65,891.75,898.5,889.5,897,,897,979,18954,0.111272727,0.636164614,0.536277384,0.099368443,0.73501427,0.337540498,0,3.45,924.2,2.2945,0.002482688,0.208545455,2.239280984,,,,,,,,,,
271,7/15/2009,2.87,899.75,926.25,899.75,922.75,,922.75,1234,18694,0.127090909,0.634441785,0.540114775,0.099002661,0.738120096,0.342109453,0,2.21,940.7,2.387,0.002537472,0.294,2.224020883,,,,,,,,,,
