,Date,SP Daily Pct Return,Open,High,Low,Last,Change,Settle,Volume,Previous Day Open Interest,SP_MA,dly chg correlation,dly chg corr mean,Std daily chg correl,upper_correl,lower_correl,signal,Gold-Copp Dly Ret,Gold Price,Copper Price,GoldCopperRatio,MA,rolling_std,,,,,5.98%,"173,647","184,029",,,
207,4/9/2013,0.26,1554.75,1562.75,1549.5,1557,,1557,1398,16425,0.098363636,0.376028,0.284174619,0.053215312,0.390605242,0.177743995,0,1.18,1586.7,3.4415,0.002168967,0.013636364,0.9612653,,sell,-111,"172,827",B,,,,,
208,4/10/2013,1.27,1556,1579.25,1555,1576.75,,1576.75,9885,16602,0.112,0.396809531,0.285692368,0.055215176,0.39612272,0.175262016,0.000686811,1.09,1558.8,3.418,0.002192712,0.021454545,0.968342261,,buy,110,"-173,443",B,,,,,
209,4/11/2013,0.32,1576.75,1586.75,1574.75,1581.75,,1581.75,10619,19565,0.124909091,0.394316875,0.287158529,0.0570134,0.401185329,0.173131728,0,0.06,1564.9,3.4335,0.00219407,0.015636364,0.967108642,,sell,-110,"173,993",B,,,,,
210,4/12/2013,-0.36,1582,1583.25,1568.75,1576,,1576,12944,19428,0.113818182,0.358270459,0.288378804,0.057813163,0.404005129,0.172752479,0,1.69,1501.4,3.35,0.002231251,0.049818182,0.992593854,,,,,,,,,,
211,4/15/2013,-2.44,1576.25,1576.5,1532.75,1537.5,,1537.5,12204,22661,0.060909091,-0.126063135,0.280492611,0.080329951,0.441152513,0.119832709,-0.245895844,7.77,1361.1,3.273,0.002404673,0.176909091,1.436190786,,short,-112,"172,200",Sh,,,,,
212,4/16/2013,1.63,1539,1564.25,1536.75,1562.5,,1562.5,13903,23381,0.089272727,-0.148867341,0.271979446,0.098818027,0.469615501,0.074343391,-0.223210733,-0.92,1387.4,3.3055,0.002382514,0.158363636,1.443767915,,,,,,,,,,
213,4/17/2013,-1.44,1562.5,1563,1532.25,1540,,1540,22142,31100,0.053090909,-0.057551005,0.264642412,0.107794621,0.480231655,0.049053169,-0.106604175,-3.24,1382.7,3.1875,0.002305272,0.090545455,1.513807339,,,,,,,,,,
214,4/18/2013,-0.78,1537,1547.25,1524.75,1528,,1528,7589,34355,0.052909091,-0.056098937,0.258980667,0.116148642,0.49127795,0.026683383,-0.08278232,-0.17,1392.5,3.2045,0.002301257,0.080727273,1.513712452,,,,,,,,,,
215,4/19/2013,0.88,1532.25,1544.75,1530.25,1541.5,,1541.5,12468,33895,0.067090909,-0.072888836,0.253271073,0.124462804,0.502196681,0.004345464,-0.0772343,-1.97,1395.6,3.1485,0.002256019,0.032363636,1.536212229,,,,,,,,,,
216,4/22/2013,0.54,1545,1555,1536.75,1549.75,,1549.75,9014,37965,0.061272727,-0.087974752,0.247285518,0.132696166,0.512677849,-0.018106813,-0.069867939,-2.35,1421.2,3.131,0.002203068,-0.022909091,1.566503151,,,,,,,,,,
