Date,CapitalGrowth
10/19/2000,"$138,074.08 "
10/20/2000,"$138,074.08 "
10/23/2000,"$138,074.08 "
10/24/2000,"$138,074.08 "
10/25/2000,"$138,074.08 "
10/26/2000,"$138,074.08 "
10/27/2000,"$138,074.08 "
10/30/2000,"$138,074.08 "
10/31/2000,"$138,074.08 "
11/1/2000,"$138,074.08 "
11/2/2000,"$138,074.08 "
11/3/2000,"$138,074.08 "
11/6/2000,"$138,074.08 "
11/7/2000,"$138,074.08 "
11/8/2000,"$138,074.08 "
11/9/2000,"$138,074.08 "
11/10/2000,"$138,074.08 "
11/13/2000,"$138,074.08 "
11/14/2000,"$138,074.08 "
11/15/2000,"$138,074.08 "
11/16/2000,"$138,074.08 "
11/17/2000,"$138,074.08 "
11/20/2000,"$138,074.08 "
11/21/2000,"$138,074.08 "
11/22/2000,"$138,074.08 "
11/24/2000,"$138,074.08 "
11/27/2000,"$138,074.08 "
11/28/2000,"$138,074.08 "
11/29/2000,"$138,074.08 "
11/30/2000,"$138,074.08 "
12/1/2000,"$138,074.08 "
12/4/2000,"$138,074.08 "
12/5/2000,"$138,074.08 "
12/6/2000,"$138,074.08 "
12/7/2000,"$138,074.08 "
12/8/2000,"$138,074.08 "
12/11/2000,"$138,074.08 "
12/12/2000,"$138,074.08 "
12/13/2000,"$138,074.08 "
12/14/2000,"$138,074.08 "
12/15/2000,"$138,074.08 "
12/18/2000,"$138,074.08 "
12/19/2000,"$138,074.08 "
12/20/2000,"$138,074.08 "
12/21/2000,"$138,074.08 "
12/22/2000,"$138,074.08 "
12/26/2000,"$138,074.08 "
12/27/2000,"$138,074.08 "
12/28/2000,"$138,074.08 "
12/29/2000,"$138,074.08 "
1/2/2001,"$138,074.08 "
1/3/2001,"$138,074.08 "
1/4/2001,"$138,074.08 "
1/5/2001,"$138,074.08 "
1/8/2001,"$138,074.08 "
1/9/2001,"$138,074.08 "
1/10/2001,"$138,074.08 "
1/11/2001,"$138,074.08 "
1/12/2001,"$138,074.08 "
1/16/2001,"$138,074.08 "
1/17/2001,"$138,074.08 "
1/18/2001,"$138,074.08 "
1/19/2001,"$138,074.08 "
1/22/2001,"$138,074.08 "
1/23/2001,"$138,074.08 "
1/24/2001,"$138,074.08 "
1/25/2001,"$138,074.08 "
1/26/2001,"$138,074.08 "
1/29/2001,"$138,074.08 "
1/30/2001,"$138,074.08 "
1/31/2001,"$138,074.08 "
2/1/2001,"$138,074.08 "
2/2/2001,"$136,774.56 "
2/5/2001,"$136,774.56 "
2/6/2001,"$136,774.56 "
2/7/2001,"$136,774.56 "
2/8/2001,"$136,774.56 "
2/9/2001,"$136,774.56 "
2/12/2001,"$136,774.56 "
2/13/2001,"$136,774.56 "
2/14/2001,"$136,774.56 "
2/15/2001,"$136,774.56 "
2/16/2001,"$136,774.56 "
2/20/2001,"$136,774.56 "
2/21/2001,"$136,774.56 "
2/22/2001,"$136,774.56 "
2/23/2001,"$136,774.56 "
2/26/2001,"$136,774.56 "
2/27/2001,"$136,774.56 "
2/28/2001,"$136,774.56 "
3/1/2001,"$136,774.56 "
3/2/2001,"$136,774.56 "
3/5/2001,"$136,774.56 "
3/6/2001,"$136,774.56 "
3/7/2001,"$136,774.56 "
3/8/2001,"$136,774.56 "
3/9/2001,"$136,774.56 "
3/12/2001,"$136,774.56 "
3/13/2001,"$136,774.56 "
3/14/2001,"$136,774.56 "
3/15/2001,"$136,774.56 "
3/16/2001,"$136,774.56 "
3/19/2001,"$136,774.56 "
3/20/2001,"$136,774.56 "
3/21/2001,"$136,774.56 "
3/22/2001,"$136,774.56 "
3/23/2001,"$136,774.56 "
3/26/2001,"$136,774.56 "
3/27/2001,"$136,774.56 "
3/28/2001,"$136,774.56 "
3/29/2001,"$136,774.56 "
3/30/2001,"$136,774.56 "
4/2/2001,"$133,976.18 "
4/3/2001,"$133,976.18 "
4/4/2001,"$133,976.18 "
4/5/2001,"$133,976.18 "
4/6/2001,"$133,976.18 "
4/9/2001,"$133,976.18 "
4/10/2001,"$133,976.18 "
4/11/2001,"$133,976.18 "
4/12/2001,"$133,976.18 "
4/16/2001,"$133,976.18 "
4/17/2001,"$133,976.18 "
4/18/2001,"$133,976.18 "
4/19/2001,"$133,976.18 "
4/20/2001,"$133,976.18 "
4/23/2001,"$133,976.18 "
4/24/2001,"$133,976.18 "
4/25/2001,"$133,976.18 "
4/26/2001,"$133,976.18 "
4/27/2001,"$133,976.18 "
4/30/2001,"$151,520.32 "
5/1/2001,"$151,520.32 "
5/2/2001,"$151,520.32 "
5/3/2001,"$151,520.32 "
5/4/2001,"$151,520.32 "
5/7/2001,"$151,520.32 "
5/8/2001,"$151,520.32 "
5/9/2001,"$151,520.32 "
5/10/2001,"$151,520.32 "
5/11/2001,"$151,520.32 "
5/14/2001,"$151,520.32 "
5/15/2001,"$151,520.32 "
5/16/2001,"$151,520.32 "
5/17/2001,"$151,520.32 "
5/18/2001,"$151,520.32 "
5/21/2001,"$151,520.32 "
5/22/2001,"$151,520.32 "
5/23/2001,"$151,520.32 "
5/24/2001,"$151,520.32 "
5/25/2001,"$151,520.32 "
5/29/2001,"$151,520.32 "
5/30/2001,"$151,520.32 "
5/31/2001,"$151,520.32 "
6/1/2001,"$151,520.32 "
6/4/2001,"$151,520.32 "
6/5/2001,"$151,520.32 "
6/6/2001,"$151,520.32 "
6/7/2001,"$151,520.32 "
6/8/2001,"$151,520.32 "
6/11/2001,"$151,520.32 "
6/12/2001,"$151,520.32 "
6/13/2001,"$151,520.32 "
6/14/2001,"$151,520.32 "
6/15/2001,"$151,520.32 "
6/18/2001,"$151,520.32 "
6/19/2001,"$151,520.32 "
6/20/2001,"$151,520.32 "
6/21/2001,"$151,520.32 "
6/22/2001,"$151,520.32 "
6/25/2001,"$151,520.32 "
6/26/2001,"$151,520.32 "
6/27/2001,"$151,520.32 "
6/28/2001,"$151,520.32 "
6/29/2001,"$151,520.32 "
7/2/2001,"$151,520.32 "
7/3/2001,"$151,520.32 "
7/5/2001,"$151,520.32 "
