,Date,Closing Price,B Rating,5 Year Rate,Yield Spread,S&P 500 Returns,Yield Spread Returns,Correl55day,55Day std,55Day Mean,55Z-Score,,signal,Long/Short
229,8/10/1998,1102,9.53,5.39,4.14,-0.004066878,0.00729927,-0.458333386,0.20562395,-0.076145025,-1.858676288,,0,
230,8/11/1998,1083.5,9.68,5.33,4.35,-0.016787659,0.050724638,-0.485336744,0.206126582,-0.090506357,-1.915475344,,0,
231,8/12/1998,1099,9.68,5.34,4.34,0.014305491,-0.002298851,-0.47851955,0.208458745,-0.103008006,-1.801371026,,0,
232,8/13/1998,1086.5,9.73,5.38,4.35,-0.011373976,0.002304147,-0.474207921,0.209601424,-0.115600009,-1.710903985,,0,
233,8/14/1998,1075,9.74,5.34,4.4,-0.010584445,0.011494253,-0.479189544,0.209841445,-0.128447967,-1.671459976,,0,
234,8/17/1998,1098,9.83,5.33,4.5,0.021395349,0.022727273,-0.40588231,0.207430289,-0.139897033,-1.282287547,,0,
235,8/18/1998,1117.5,9.83,5.35,4.48,0.017759563,-0.004444444,-0.414370774,0.205118716,-0.151181337,-1.283107862,,0,
236,8/19/1998,1111.25,9.85,5.35,4.5,-0.005592841,0.004464286,-0.419181382,0.202383975,-0.162481766,-1.268379158,,0,
237,8/20/1998,1104,9.87,5.32,4.55,-0.006524184,0.011111111,-0.435995358,0.199028546,-0.174255771,-1.315085661,,0,
238,8/21/1998,1097,10.05,5.24,4.81,-0.00634058,0.057142857,-0.396861756,0.195380397,-0.184636211,-1.08621719,,0,
239,8/24/1998,1105,10.05,5.19,4.86,0.007292616,0.01039501,-0.384017119,0.191154516,-0.194624233,-0.990784256,,0,
240,8/25/1998,1108,10.09,5.13,4.96,0.002714932,0.020576132,-0.375159806,0.185921555,-0.204555445,-0.917614755,,0,
241,8/26/1998,1100.75,10.21,5.11,5.1,-0.006543321,0.028225806,-0.380117179,0.179863843,-0.214667384,-0.919861334,,0,
242,8/27/1998,1049.25,10.59,4.97,5.62,-0.046786282,0.101960784,-0.560515936,0.178349233,-0.227746412,-1.865830982,,0,
243,8/28/1998,1042,10.73,4.94,5.79,-0.006909697,0.03024911,-0.554438021,0.177929531,-0.239634496,-1.769259563,,0,
244,8/31/1998,966,11.09,4.91,6.18,-0.07293666,0.067357513,-0.639619654,0.180400531,-0.252734671,-2.14458894,,0,
245,9/1/1998,1010.5,11.19,4.91,6.28,0.046066253,0.01618123,-0.593126448,0.179675921,-0.265256831,-1.824783279,,0,
246,9/2/1998,1000.25,11.17,4.96,6.21,-0.010143493,-0.011146497,-0.572944238,0.178260476,-0.277001951,-1.660167719,,0,
247,9/3/1998,995,11.19,4.91,6.28,-0.005248688,0.011272142,-0.560079045,0.177728716,-0.287430111,-1.534073616,,0,
248,9/4/1998,985.25,11.21,4.9,6.31,-0.009798995,0.00477707,-0.558017978,0.177752809,-0.2970784,-1.467991305,,0,
249,9/8/1998,1035.75,11.18,4.89,6.29,0.051256026,-0.003169572,-0.54571838,0.177466332,-0.306154965,-1.349909093,,0,
250,9/9/1998,1012,11.18,4.79,6.39,-0.022930244,0.015898251,-0.546887966,0.176391482,-0.315468555,-1.311964777,,0,
251,9/10/1998,981,11.35,4.55,6.8,-0.030632411,0.064162754,-0.571366579,0.176387738,-0.324610303,-1.398942344,,0,
252,9/11/1998,1024,11.41,4.65,6.76,0.043832824,-0.005882353,-0.569334656,0.176145269,-0.333518687,-1.338758458,,0,
253,9/14/1998,1040.25,11.4,4.65,6.75,0.015869141,-0.00147929,-0.577364248,0.1756035,-0.342595547,-1.336924948,,0,
254,9/15/1998,1047.75,11.4,4.68,6.72,0.007209805,-0.004444444,-0.578139201,0.175232115,-0.351271133,-1.294671736,,0,
255,9/16/1998,1057.75,11.4,4.69,6.71,0.009544262,-0.001488095,-0.580883676,0.174165692,-0.360202976,-1.267073312,,0,
256,9/17/1998,1027.5,11.39,4.6,6.79,-0.02859844,0.011922504,-0.575780953,0.173671748,-0.36827535,-1.194814961,,0,
257,9/18/1998,1029.5,11.42,4.5,6.92,0.001946472,0.019145803,-0.575495564,0.172691704,-0.376407877,-1.152850326,,0,
258,9/21/1998,1040,11.41,4.51,6.9,0.010199126,-0.002890173,-0.581720082,0.171270706,-0.384765757,-1.14995921,,0,
259,9/22/1998,1045,11.35,4.57,6.78,0.004807692,-0.017391304,-0.580044009,0.169050344,-0.393293514,-1.104703434,,0,
260,9/23/1998,1091.25,11.26,4.48,6.78,0.044258373,0,-0.579020214,0.165937853,-0.402021132,-1.066658862,,0,
261,9/24/1998,1074,11.23,4.43,6.8,-0.01580756,0.002949853,-0.568442778,0.162025499,-0.410590067,-0.974246102,,0,
262,9/25/1998,1072,11.24,4.4,6.84,-0.001862197,0.005882353,-0.569485653,0.157980125,-0.418972529,-0.952734555,,0,
263,9/28/1998,1064,11.22,4.4,6.82,-0.007462687,-0.002923977,-0.563993428,0.153050506,-0.427357722,-0.892749132,,0,
264,9/29/1998,1069.25,11.23,4.4,6.83,0.004934211,0.001466276,-0.567125883,0.147686342,-0.435728335,-0.88970684,,0,
265,9/30/1998,1043.5,11.33,4.23,7.1,-0.024082301,0.039531479,-0.573695232,0.142223625,-0.444008892,-0.911848082,,0,
266,10/1/1998,1004.75,11.33,4.1,7.23,-0.037134643,0.018309859,-0.572520963,0.135769825,-0.452363587,-0.885007957,,0,
267,10/2/1998,1016.25,11.41,4.08,7.33,0.011445633,0.013831259,-0.567385952,0.128830525,-0.460451701,-0.830038147,,0,
268,10/5/1998,982.75,11.55,3.95,7.6,-0.03296433,0.036834925,-0.57811577,0.121414819,-0.468631547,-0.901736904,,0,
269,10/6/1998,1003.75,11.6,4.05,7.55,0.021368608,-0.006578947,-0.586221323,0.119136614,-0.474475356,-0.93796494,,0,
270,10/7/1998,980.75,11.68,4.13,7.55,-0.022914072,0,-0.582923319,0.115697601,-0.480643887,-0.884023791,,0,
271,10/8/1998,974,12.11,4.29,7.82,-0.006882488,0.035761589,-0.581286975,0.112024558,-0.486671293,-0.844597683,,0,
272,10/9/1998,1000,12.23,4.46,7.77,0.026694045,-0.006393862,-0.601411431,0.108837968,-0.492786849,-0.998039414,,0,
273,10/13/1998,1011,12.23,4.37,7.86,0.011,0.011583012,-0.601571359,0.104221065,-0.499314169,-0.981156635,,0,
274,10/14/1998,1019.75,12.38,4.23,8.15,0.008654797,0.036895674,-0.586363295,0.098989,-0.505457405,-0.81732202,,0,
275,10/15/1998,1069,12.4,4.23,8.17,0.048296151,0.002453988,-0.584215629,0.092215991,-0.511832009,-0.784935663,,0,
276,10/16/1998,1073,12.41,4.04,8.37,0.003741815,0.024479804,-0.592892845,0.083781893,-0.518582373,-0.886951457,,0,
